ReviewID,Category,Review,Rating,Sentiment
56,Home,Amazing product and worth the money.,5,Positive
57,Home,Very satisfied with this purchase.,5,Positive
58,Books,The product is average.,3,Neutral
59,Electronics,Average performance overall.,3,Neutral
60,Electronics,Highly recommended for everyone.,4,Positive
61,Home,It works as expected.,3,Neutral
62,Books,Fast delivery and excellent packaging.,4,Positive
63,Books,It works as expected.,3,Neutral
64,Books,Fast delivery and excellent packaging.,5,Positive
65,Home,The product exceeded my expectations.,5,Positive
66,Beauty,Amazing product and worth the money.,4,Positive
67,Electronics,Very disappointed with the product.,2,Negative
68,Electronics,Fast delivery and excellent packaging.,4,Positive
69,Home,The product is average.,3,Neutral
70,Books,Excellent product and great quality.,4,Positive
71,Beauty,Highly recommended for everyone.,4,Positive
72,Books,Highly recommended for everyone.,4,Positive
73,Fashion,The product stopped working quickly.,2,Negative
74,Home,The product exceeded my expectations.,5,Positive
75,Books,Amazing product and worth the money.,5,Positive
76,Books,Excellent product and great quality.,4,Positive
77,Electronics,The product stopped working quickly.,1,Negative
78,Home,Highly recommended for everyone.,5,Positive
79,Home,The product is average.,3,Neutral
80,Beauty,Amazing product and worth the money.,5,Positive
81,Beauty,The product stopped working quickly.,1,Negative
82,Home,The product exceeded my expectations.,4,Positive
83,Fashion,Excellent product and great quality.,4,Positive
84,Home,Amazing product and worth the money.,5,Positive
85,Fashion,The item arrived damaged.,2,Negative
86,Electronics,The product is average.,3,Neutral
87,Electronics,The item arrived damaged.,1,Negative
88,Home,Amazing product and worth the money.,5,Positive
89,Beauty,The product stopped working quickly.,2,Negative
90,Beauty,Excellent product and great quality.,4,Positive
91,Books,Very satisfied with this purchase.,4,Positive
92,Electronics,Very satisfied with this purchase.,5,Positive
93,Home,It works as expected.,3,Neutral
94,Beauty,The item arrived damaged.,2,Negative
95,Home,Poor quality and not worth the money.,1,Negative
96,Home,The product is average.,3,Neutral
97,Home,The item arrived damaged.,2,Negative
98,Books,The product exceeded my expectations.,4,Positive
99,Home,The quality is acceptable.,3,Neutral
100,Fashion,Fast delivery and excellent packaging.,5,Positive
101,Home,It works as expected.,3,Neutral
102,Fashion,Amazing product and worth the money.,5,Positive
103,Fashion,Excellent product and great quality.,5,Positive
104,Electronics,Bad experience and slow delivery.,2,Negative
105,Beauty,Very satisfied with this purchase.,4,Positive
106,Electronics,Delivery was on time.,3,Neutral
107,Fashion,Fast delivery and excellent packaging.,5,Positive
108,Books,Highly recommended for everyone.,4,Positive
109,Fashion,It works as expected.,3,Neutral
110,Beauty,Fast delivery and excellent packaging.,4,Positive
111,Home,Average performance overall.,3,Neutral
112,Beauty,Excellent product and great quality.,5,Positive
113,Beauty,Excellent product and great quality.,5,Positive
114,Books,Fast delivery and excellent packaging.,5,Positive
115,Home,The product stopped working quickly.,1,Negative
116,Beauty,Fast delivery and excellent packaging.,4,Positive
117,Fashion,Fast delivery and excellent packaging.,4,Positive
118,Books,Fast delivery and excellent packaging.,5,Positive
119,Beauty,The product exceeded my expectations.,4,Positive
120,Electronics,The product exceeded my expectations.,4,Positive
121,Electronics,The product exceeded my expectations.,5,Positive
122,Fashion,It works as expected.,3,Neutral
123,Electronics,Amazing product and worth the money.,4,Positive
124,Books,Fast delivery and excellent packaging.,4,Positive
125,Books,The product exceeded my expectations.,4,Positive
126,Electronics,Amazing product and worth the money.,4,Positive
127,Books,The product is average.,3,Neutral
128,Electronics,The product exceeded my expectations.,5,Positive
129,Home,Excellent product and great quality.,5,Positive
130,Beauty,The experience was neither good nor bad.,3,Neutral
131,Fashion,Average performance overall.,3,Neutral
132,Beauty,The quality is acceptable.,3,Neutral
133,Books,Average performance overall.,3,Neutral
134,Books,Average performance overall.,3,Neutral
135,Books,The experience was neither good nor bad.,3,Neutral
136,Beauty,Amazing product and worth the money.,5,Positive
137,Books,Amazing product and worth the money.,5,Positive
138,Fashion,Very satisfied with this purchase.,4,Positive
139,Home,Highly recommended for everyone.,4,Positive
140,Home,Fast delivery and excellent packaging.,4,Positive
141,Beauty,Fast delivery and excellent packaging.,5,Positive
142,Books,Excellent product and great quality.,4,Positive
143,Beauty,Highly recommended for everyone.,4,Positive
144,Fashion,Excellent product and great quality.,5,Positive
145,Books,Bad experience and slow delivery.,1,Negative
146,Electronics,Fast delivery and excellent packaging.,5,Positive
147,Home,The product exceeded my expectations.,5,Positive
148,Beauty,It works as expected.,3,Neutral
149,Electronics,Fast delivery and excellent packaging.,4,Positive
150,Home,Poor quality and not worth the money.,2,Negative
151,Home,Fast delivery and excellent packaging.,5,Positive
152,Fashion,Very satisfied with this purchase.,5,Positive
153,Electronics,Bad experience and slow delivery.,2,Negative
154,Fashion,The product exceeded my expectations.,4,Positive
155,Electronics,Excellent product and great quality.,4,Positive
156,Electronics,It works as expected.,3,Neutral
157,Books,Poor quality and not worth the money.,1,Negative
158,Books,The product stopped working quickly.,1,Negative
159,Beauty,The item arrived damaged.,1,Negative
160,Home,Not satisfied with this purchase.,1,Negative
161,Beauty,The product is average.,3,Neutral
162,Books,Very satisfied with this purchase.,5,Positive
163,Electronics,It works as expected.,3,Neutral
164,Electronics,The product exceeded my expectations.,4,Positive
165,Beauty,The item arrived damaged.,1,Negative
166,Fashion,The item arrived damaged.,2,Negative
167,Electronics,The product exceeded my expectations.,5,Positive
168,Electronics,The quality is acceptable.,3,Neutral
169,Home,Very satisfied with this purchase.,5,Positive
170,Beauty,The product exceeded my expectations.,5,Positive
171,Books,Average performance overall.,3,Neutral
172,Fashion,The product exceeded my expectations.,5,Positive
173,Fashion,The product is average.,3,Neutral
174,Books,It works as expected.,3,Neutral
175,Fashion,The product exceeded my expectations.,5,Positive
176,Books,Very satisfied with this purchase.,4,Positive
177,Fashion,Very satisfied with this purchase.,5,Positive
178,Fashion,The experience was neither good nor bad.,3,Neutral
179,Electronics,Highly recommended for everyone.,4,Positive
180,Beauty,Fast delivery and excellent packaging.,5,Positive
181,Books,Not satisfied with this purchase.,2,Negative
182,Fashion,Excellent product and great quality.,4,Positive
183,Fashion,The product exceeded my expectations.,4,Positive
184,Beauty,The item arrived damaged.,2,Negative
185,Fashion,Fast delivery and excellent packaging.,5,Positive
186,Fashion,The item arrived damaged.,2,Negative
187,Fashion,The product exceeded my expectations.,4,Positive
188,Home,Highly recommended for everyone.,4,Positive
189,Beauty,Fast delivery and excellent packaging.,5,Positive
190,Beauty,Average performance overall.,3,Neutral
191,Fashion,Excellent product and great quality.,4,Positive
192,Electronics,Amazing product and worth the money.,5,Positive
193,Electronics,Poor quality and not worth the money.,2,Negative
194,Fashion,Average performance overall.,3,Neutral
195,Electronics,Poor quality and not worth the money.,2,Negative
196,Fashion,Average performance overall.,3,Neutral
197,Home,Fast delivery and excellent packaging.,5,Positive
198,Books,Delivery was on time.,3,Neutral
199,Books,Excellent product and great quality.,5,Positive
200,Home,The product exceeded my expectations.,4,Positive
201,Electronics,Highly recommended for everyone.,5,Positive
202,Beauty,The product is average.,3,Neutral
203,Beauty,The product stopped working quickly.,1,Negative
204,Beauty,Fast delivery and excellent packaging.,5,Positive
205,Beauty,Delivery was on time.,3,Neutral
206,Home,The product stopped working quickly.,1,Negative
207,Home,The item arrived damaged.,1,Negative
208,Home,Highly recommended for everyone.,4,Positive
209,Fashion,Fast delivery and excellent packaging.,5,Positive
210,Books,Very satisfied with this purchase.,5,Positive
211,Beauty,Amazing product and worth the money.,5,Positive
212,Electronics,Poor quality and not worth the money.,2,Negative
213,Fashion,The product exceeded my expectations.,4,Positive
214,Electronics,The product is average.,3,Neutral
215,Books,Very satisfied with this purchase.,5,Positive
216,Books,The product exceeded my expectations.,5,Positive
217,Beauty,Average performance overall.,3,Neutral
218,Books,Excellent product and great quality.,4,Positive
219,Electronics,The product stopped working quickly.,2,Negative
220,Fashion,The product exceeded my expectations.,4,Positive
221,Beauty,Amazing product and worth the money.,5,Positive
222,Beauty,The item arrived damaged.,1,Negative
223,Books,Fast delivery and excellent packaging.,4,Positive
224,Electronics,Very satisfied with this purchase.,5,Positive
225,Books,Delivery was on time.,3,Neutral
226,Beauty,The item arrived damaged.,2,Negative
227,Fashion,Excellent product and great quality.,5,Positive
228,Beauty,Fast delivery and excellent packaging.,4,Positive
229,Beauty,Excellent product and great quality.,4,Positive
230,Electronics,Fast delivery and excellent packaging.,5,Positive
231,Fashion,Highly recommended for everyone.,4,Positive
232,Electronics,The product exceeded my expectations.,5,Positive
233,Home,The product exceeded my expectations.,4,Positive
234,Electronics,Excellent product and great quality.,5,Positive
235,Electronics,Excellent product and great quality.,5,Positive
236,Fashion,Poor quality and not worth the money.,2,Negative
237,Books,Very satisfied with this purchase.,5,Positive
238,Books,It works as expected.,3,Neutral
239,Beauty,Fast delivery and excellent packaging.,4,Positive
240,Fashion,Amazing product and worth the money.,4,Positive
241,Beauty,Bad experience and slow delivery.,2,Negative
242,Fashion,Excellent product and great quality.,5,Positive
243,Books,Average performance overall.,3,Neutral
244,Beauty,The quality is acceptable.,3,Neutral
245,Books,Very satisfied with this purchase.,5,Positive
246,Home,It works as expected.,3,Neutral
247,Electronics,Amazing product and worth the money.,5,Positive
248,Books,Fast delivery and excellent packaging.,5,Positive
249,Home,The experience was neither good nor bad.,3,Neutral
250,Beauty,Excellent product and great quality.,4,Positive
251,Electronics,Delivery was on time.,3,Neutral
252,Electronics,The quality is acceptable.,3,Neutral
253,Home,Fast delivery and excellent packaging.,4,Positive
254,Electronics,The product exceeded my expectations.,4,Positive
255,Beauty,Very satisfied with this purchase.,5,Positive
256,Fashion,Not satisfied with this purchase.,1,Negative
257,Books,Average performance overall.,3,Neutral
258,Books,The experience was neither good nor bad.,3,Neutral
259,Beauty,The product is average.,3,Neutral
260,Home,The product exceeded my expectations.,5,Positive
261,Electronics,Bad experience and slow delivery.,1,Negative
262,Electronics,The product exceeded my expectations.,5,Positive
263,Fashion,Excellent product and great quality.,5,Positive
264,Beauty,Amazing product and worth the money.,4,Positive
265,Home,The product exceeded my expectations.,4,Positive
266,Beauty,Highly recommended for everyone.,5,Positive
267,Home,Bad experience and slow delivery.,1,Negative
268,Fashion,Very satisfied with this purchase.,5,Positive
269,Beauty,Bad experience and slow delivery.,2,Negative
270,Beauty,Fast delivery and excellent packaging.,5,Positive
271,Books,Fast delivery and excellent packaging.,5,Positive
272,Books,It works as expected.,3,Neutral
273,Home,The product is average.,3,Neutral
274,Fashion,Very satisfied with this purchase.,5,Positive
275,Fashion,The product exceeded my expectations.,5,Positive
276,Beauty,The product exceeded my expectations.,4,Positive
277,Beauty,The item arrived damaged.,1,Negative
278,Home,It works as expected.,3,Neutral
279,Electronics,Not satisfied with this purchase.,1,Negative
280,Electronics,The experience was neither good nor bad.,3,Neutral
281,Beauty,Fast delivery and excellent packaging.,4,Positive
282,Fashion,Amazing product and worth the money.,4,Positive
283,Home,Fast delivery and excellent packaging.,4,Positive
284,Beauty,Highly recommended for everyone.,5,Positive
285,Fashion,Very satisfied with this purchase.,4,Positive
286,Fashion,The quality is acceptable.,3,Neutral
287,Books,The item arrived damaged.,1,Negative
288,Home,It works as expected.,3,Neutral
289,Books,The experience was neither good nor bad.,3,Neutral
290,Fashion,Average performance overall.,3,Neutral
291,Fashion,Fast delivery and excellent packaging.,4,Positive
292,Fashion,Fast delivery and excellent packaging.,5,Positive
293,Electronics,The product exceeded my expectations.,5,Positive
294,Beauty,Bad experience and slow delivery.,1,Negative
295,Fashion,Average performance overall.,3,Neutral
296,Electronics,It works as expected.,3,Neutral
297,Books,Bad experience and slow delivery.,2,Negative
298,Fashion,Excellent product and great quality.,4,Positive
299,Electronics,The product is average.,3,Neutral
300,Books,Highly recommended for everyone.,4,Positive
301,Beauty,The product exceeded my expectations.,5,Positive
302,Electronics,Poor quality and not worth the money.,2,Negative
303,Books,Average performance overall.,3,Neutral
304,Electronics,Delivery was on time.,3,Neutral
305,Books,Poor quality and not worth the money.,2,Negative
306,Electronics,Delivery was on time.,3,Neutral
307,Beauty,Delivery was on time.,3,Neutral
308,Fashion,The experience was neither good nor bad.,3,Neutral
309,Electronics,Very satisfied with this purchase.,4,Positive
310,Electronics,The quality is acceptable.,3,Neutral
311,Electronics,Not satisfied with this purchase.,1,Negative
312,Beauty,Poor quality and not worth the money.,1,Negative
313,Beauty,Highly recommended for everyone.,4,Positive
314,Home,Amazing product and worth the money.,5,Positive
315,Fashion,The product stopped working quickly.,1,Negative
316,Home,It works as expected.,3,Neutral
317,Electronics,Amazing product and worth the money.,4,Positive
318,Beauty,Very satisfied with this purchase.,4,Positive
319,Electronics,Amazing product and worth the money.,5,Positive
320,Electronics,Fast delivery and excellent packaging.,4,Positive
321,Books,Very satisfied with this purchase.,4,Positive
322,Beauty,Highly recommended for everyone.,4,Positive
323,Electronics,The product exceeded my expectations.,4,Positive
324,Books,The quality is acceptable.,3,Neutral
325,Electronics,Bad experience and slow delivery.,2,Negative
326,Beauty,Delivery was on time.,3,Neutral
327,Beauty,Amazing product and worth the money.,5,Positive
328,Books,The product stopped working quickly.,2,Negative
329,Fashion,Average performance overall.,3,Neutral
330,Electronics,Highly recommended for everyone.,5,Positive
331,Books,Very disappointed with the product.,1,Negative
332,Fashion,Amazing product and worth the money.,5,Positive
333,Books,The quality is acceptable.,3,Neutral
334,Fashion,The item arrived damaged.,2,Negative
335,Books,The item arrived damaged.,1,Negative
336,Books,Excellent product and great quality.,4,Positive
337,Home,The product exceeded my expectations.,5,Positive
338,Electronics,Highly recommended for everyone.,5,Positive
339,Electronics,The product exceeded my expectations.,5,Positive
340,Fashion,Average performance overall.,3,Neutral
341,Home,Highly recommended for everyone.,4,Positive
342,Fashion,Poor quality and not worth the money.,1,Negative
343,Electronics,Delivery was on time.,3,Neutral
344,Books,The product stopped working quickly.,1,Negative
345,Beauty,Average performance overall.,3,Neutral
346,Beauty,The product stopped working quickly.,1,Negative
347,Fashion,The experience was neither good nor bad.,3,Neutral
348,Fashion,Very satisfied with this purchase.,5,Positive
349,Beauty,Amazing product and worth the money.,4,Positive
350,Electronics,Very disappointed with the product.,1,Negative
351,Books,Highly recommended for everyone.,4,Positive
352,Fashion,Very satisfied with this purchase.,4,Positive
353,Electronics,Very satisfied with this purchase.,4,Positive
354,Electronics,Highly recommended for everyone.,4,Positive
355,Books,The product exceeded my expectations.,5,Positive
356,Home,Bad experience and slow delivery.,2,Negative
357,Books,Very disappointed with the product.,2,Negative
358,Beauty,The product exceeded my expectations.,5,Positive
359,Books,Very disappointed with the product.,1,Negative
360,Electronics,The product is average.,3,Neutral
361,Fashion,Amazing product and worth the money.,4,Positive
362,Books,Excellent product and great quality.,4,Positive
363,Books,Poor quality and not worth the money.,1,Negative
364,Electronics,Amazing product and worth the money.,5,Positive
365,Books,The product exceeded my expectations.,4,Positive
366,Beauty,Excellent product and great quality.,5,Positive
367,Fashion,Fast delivery and excellent packaging.,5,Positive
368,Home,Excellent product and great quality.,5,Positive
369,Books,Average performance overall.,3,Neutral
370,Electronics,Delivery was on time.,3,Neutral
371,Books,Excellent product and great quality.,4,Positive
372,Books,Highly recommended for everyone.,4,Positive
373,Fashion,The experience was neither good nor bad.,3,Neutral
374,Beauty,Amazing product and worth the money.,4,Positive
375,Fashion,The product stopped working quickly.,1,Negative
376,Home,The product exceeded my expectations.,4,Positive
377,Home,Very satisfied with this purchase.,4,Positive
378,Home,Not satisfied with this purchase.,1,Negative
379,Books,The experience was neither good nor bad.,3,Neutral
380,Beauty,Highly recommended for everyone.,5,Positive
381,Fashion,The product stopped working quickly.,2,Negative
382,Books,Excellent product and great quality.,5,Positive
383,Fashion,The item arrived damaged.,1,Negative
384,Books,Very satisfied with this purchase.,5,Positive
385,Electronics,Very satisfied with this purchase.,5,Positive
386,Books,Very disappointed with the product.,2,Negative
387,Books,The product exceeded my expectations.,4,Positive
388,Home,Average performance overall.,3,Neutral
389,Electronics,Fast delivery and excellent packaging.,4,Positive
390,Beauty,Very satisfied with this purchase.,4,Positive
391,Books,Very disappointed with the product.,1,Negative
392,Beauty,Average performance overall.,3,Neutral
393,Fashion,The item arrived damaged.,2,Negative
394,Fashion,Very satisfied with this purchase.,4,Positive
395,Fashion,Excellent product and great quality.,5,Positive
396,Fashion,The product exceeded my expectations.,4,Positive
397,Fashion,The product exceeded my expectations.,4,Positive
398,Home,The product exceeded my expectations.,5,Positive
399,Beauty,Excellent product and great quality.,5,Positive
400,Beauty,Very satisfied with this purchase.,4,Positive
401,Beauty,The product exceeded my expectations.,5,Positive
402,Home,Very satisfied with this purchase.,5,Positive
403,Books,Delivery was on time.,3,Neutral
404,Electronics,Amazing product and worth the money.,4,Positive
405,Fashion,Excellent product and great quality.,4,Positive
406,Home,Average performance overall.,3,Neutral
407,Home,Amazing product and worth the money.,4,Positive
408,Home,Average performance overall.,3,Neutral
409,Fashion,Very disappointed with the product.,2,Negative
410,Beauty,Poor quality and not worth the money.,2,Negative
411,Home,The product exceeded my expectations.,5,Positive
412,Home,Very satisfied with this purchase.,5,Positive
413,Books,Highly recommended for everyone.,5,Positive
414,Home,Bad experience and slow delivery.,2,Negative
415,Home,Average performance overall.,3,Neutral
416,Books,The product is average.,3,Neutral
417,Electronics,Average performance overall.,3,Neutral
418,Fashion,The product stopped working quickly.,1,Negative
419,Books,Amazing product and worth the money.,5,Positive
420,Books,It works as expected.,3,Neutral
421,Fashion,Amazing product and worth the money.,5,Positive
422,Electronics,The quality is acceptable.,3,Neutral
423,Books,Very satisfied with this purchase.,4,Positive
424,Home,Delivery was on time.,3,Neutral
425,Home,Excellent product and great quality.,5,Positive
426,Home,Very satisfied with this purchase.,5,Positive
427,Beauty,Bad experience and slow delivery.,2,Negative
428,Fashion,Excellent product and great quality.,4,Positive
429,Electronics,Amazing product and worth the money.,5,Positive
430,Electronics,Poor quality and not worth the money.,2,Negative
431,Electronics,Fast delivery and excellent packaging.,5,Positive
432,Beauty,Fast delivery and excellent packaging.,4,Positive
433,Fashion,The product exceeded my expectations.,4,Positive
434,Home,Highly recommended for everyone.,5,Positive
435,Beauty,Amazing product and worth the money.,4,Positive
436,Beauty,The product is average.,3,Neutral
437,Books,Highly recommended for everyone.,4,Positive
438,Books,The product is average.,3,Neutral
439,Electronics,Delivery was on time.,3,Neutral
440,Home,Excellent product and great quality.,5,Positive
441,Beauty,Not satisfied with this purchase.,1,Negative
442,Electronics,The item arrived damaged.,1,Negative
443,Books,Very satisfied with this purchase.,4,Positive
444,Home,The quality is acceptable.,3,Neutral
445,Books,The product is average.,3,Neutral
446,Home,Amazing product and worth the money.,4,Positive
447,Fashion,Delivery was on time.,3,Neutral
448,Fashion,Highly recommended for everyone.,5,Positive
449,Fashion,The product exceeded my expectations.,4,Positive
450,Fashion,Excellent product and great quality.,5,Positive
451,Books,Very satisfied with this purchase.,5,Positive
452,Home,Bad experience and slow delivery.,2,Negative
453,Beauty,Fast delivery and excellent packaging.,5,Positive
454,Electronics,Excellent product and great quality.,5,Positive
455,Fashion,Amazing product and worth the money.,5,Positive
456,Fashion,Very satisfied with this purchase.,5,Positive
457,Home,The product exceeded my expectations.,5,Positive
458,Electronics,The item arrived damaged.,2,Negative
459,Fashion,The item arrived damaged.,2,Negative
460,Books,Very disappointed with the product.,1,Negative
461,Electronics,The product exceeded my expectations.,4,Positive
462,Electronics,Highly recommended for everyone.,5,Positive
463,Fashion,Amazing product and worth the money.,5,Positive
464,Beauty,Highly recommended for everyone.,4,Positive
465,Fashion,Fast delivery and excellent packaging.,5,Positive
466,Beauty,Excellent product and great quality.,4,Positive
467,Home,Very satisfied with this purchase.,5,Positive
468,Home,The product is average.,3,Neutral
469,Fashion,Fast delivery and excellent packaging.,4,Positive
470,Home,Not satisfied with this purchase.,2,Negative
471,Books,Delivery was on time.,3,Neutral
472,Books,Amazing product and worth the money.,4,Positive
473,Electronics,The product exceeded my expectations.,5,Positive
474,Fashion,Delivery was on time.,3,Neutral
475,Fashion,The product stopped working quickly.,2,Negative
476,Home,The experience was neither good nor bad.,3,Neutral
477,Electronics,The product stopped working quickly.,1,Negative
478,Home,It works as expected.,3,Neutral
479,Beauty,Very disappointed with the product.,2,Negative
480,Beauty,Fast delivery and excellent packaging.,4,Positive
481,Fashion,The product is average.,3,Neutral
482,Beauty,The product exceeded my expectations.,5,Positive
483,Home,Fast delivery and excellent packaging.,4,Positive
484,Electronics,The experience was neither good nor bad.,3,Neutral
485,Home,The product exceeded my expectations.,5,Positive
486,Beauty,Average performance overall.,3,Neutral
487,Beauty,Amazing product and worth the money.,5,Positive
488,Electronics,The product is average.,3,Neutral
489,Home,Very satisfied with this purchase.,4,Positive
490,Fashion,The product exceeded my expectations.,4,Positive
491,Fashion,Average performance overall.,3,Neutral
492,Home,Delivery was on time.,3,Neutral
493,Home,The product stopped working quickly.,2,Negative
494,Beauty,The product stopped working quickly.,1,Negative
495,Home,The product stopped working quickly.,1,Negative
496,Beauty,Not satisfied with this purchase.,2,Negative
497,Electronics,Excellent product and great quality.,4,Positive
498,Fashion,Average performance overall.,3,Neutral
499,Beauty,The product stopped working quickly.,2,Negative
500,Fashion,Bad experience and slow delivery.,2,Negative
501,Fashion,The product exceeded my expectations.,5,Positive
502,Home,The product exceeded my expectations.,4,Positive
503,Home,Fast delivery and excellent packaging.,5,Positive
504,Fashion,Amazing product and worth the money.,5,Positive
505,Home,The item arrived damaged.,2,Negative
506,Fashion,The product stopped working quickly.,1,Negative
507,Books,Excellent product and great quality.,5,Positive
508,Fashion,Excellent product and great quality.,4,Positive
509,Books,Average performance overall.,3,Neutral
510,Beauty,Amazing product and worth the money.,5,Positive
511,Books,Poor quality and not worth the money.,1,Negative
512,Books,The quality is acceptable.,3,Neutral
513,Electronics,The quality is acceptable.,3,Neutral
514,Home,Fast delivery and excellent packaging.,5,Positive
515,Electronics,Very satisfied with this purchase.,4,Positive
516,Fashion,Highly recommended for everyone.,5,Positive
517,Home,Excellent product and great quality.,5,Positive
518,Fashion,The experience was neither good nor bad.,3,Neutral
519,Books,The item arrived damaged.,1,Negative
520,Fashion,Highly recommended for everyone.,4,Positive
521,Beauty,Excellent product and great quality.,5,Positive
522,Beauty,Highly recommended for everyone.,5,Positive
523,Electronics,Very disappointed with the product.,1,Negative
524,Home,Very satisfied with this purchase.,5,Positive
525,Beauty,Highly recommended for everyone.,5,Positive
526,Fashion,Excellent product and great quality.,4,Positive
527,Books,Average performance overall.,3,Neutral
528,Fashion,Highly recommended for everyone.,4,Positive
529,Home,Delivery was on time.,3,Neutral
530,Beauty,Highly recommended for everyone.,5,Positive
531,Beauty,Highly recommended for everyone.,5,Positive
532,Fashion,Excellent product and great quality.,5,Positive
533,Electronics,Bad experience and slow delivery.,2,Negative
534,Electronics,Very satisfied with this purchase.,4,Positive
535,Home,Amazing product and worth the money.,5,Positive
536,Electronics,It works as expected.,3,Neutral
537,Home,The product exceeded my expectations.,4,Positive
538,Home,Very satisfied with this purchase.,5,Positive
539,Beauty,Amazing product and worth the money.,5,Positive
540,Home,Bad experience and slow delivery.,1,Negative
541,Books,Highly recommended for everyone.,5,Positive
542,Books,Very satisfied with this purchase.,4,Positive
543,Beauty,Delivery was on time.,3,Neutral
544,Beauty,The product exceeded my expectations.,5,Positive
545,Beauty,Amazing product and worth the money.,5,Positive
546,Home,Very satisfied with this purchase.,5,Positive
547,Books,Bad experience and slow delivery.,2,Negative
548,Fashion,The product exceeded my expectations.,5,Positive
549,Books,The product exceeded my expectations.,5,Positive
550,Fashion,It works as expected.,3,Neutral
551,Fashion,The product exceeded my expectations.,4,Positive
552,Fashion,The experience was neither good nor bad.,3,Neutral
553,Beauty,Poor quality and not worth the money.,1,Negative
554,Home,Highly recommended for everyone.,5,Positive
555,Home,The product exceeded my expectations.,4,Positive
556,Home,Highly recommended for everyone.,4,Positive
557,Books,Fast delivery and excellent packaging.,5,Positive
558,Beauty,Amazing product and worth the money.,4,Positive
559,Books,It works as expected.,3,Neutral
560,Home,Bad experience and slow delivery.,2,Negative
561,Fashion,The item arrived damaged.,2,Negative
562,Beauty,Very disappointed with the product.,1,Negative
563,Books,Very disappointed with the product.,1,Negative
564,Electronics,It works as expected.,3,Neutral
565,Books,The quality is acceptable.,3,Neutral
566,Electronics,The product exceeded my expectations.,5,Positive
567,Fashion,Highly recommended for everyone.,4,Positive
568,Home,The product exceeded my expectations.,5,Positive
569,Fashion,The quality is acceptable.,3,Neutral
570,Home,Excellent product and great quality.,5,Positive
571,Home,Not satisfied with this purchase.,2,Negative
572,Beauty,Very satisfied with this purchase.,5,Positive
573,Beauty,Poor quality and not worth the money.,1,Negative
574,Books,The quality is acceptable.,3,Neutral
575,Electronics,Excellent product and great quality.,5,Positive
576,Fashion,Amazing product and worth the money.,5,Positive
577,Fashion,The product is average.,3,Neutral
578,Fashion,Fast delivery and excellent packaging.,5,Positive
579,Fashion,The product exceeded my expectations.,4,Positive
580,Electronics,Not satisfied with this purchase.,1,Negative
581,Home,Bad experience and slow delivery.,2,Negative
582,Electronics,Highly recommended for everyone.,5,Positive
583,Beauty,The item arrived damaged.,2,Negative
584,Home,Amazing product and worth the money.,5,Positive
585,Books,Highly recommended for everyone.,5,Positive
